Domain,下一步,操作入口,获取方式,处理结果,已确认事实,缺失事实,证据URL,证据日期,外链形式,DR,成功项目数
aigcsoft.site,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aigcsoft.site/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 39 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aigcsoft.site/tool-category/ai-chat,2026-09-02,Follow 外链,,
aigist.org,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aigist.org/submit-tool,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 6 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aigist.org/tool/pdf-translate,2026-09-02,Follow 外链,,
aihub.org,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aihub.org/contribute/,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 61 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aihub.org/2026/08/25/ijcai-ecai-2026-social-media-round-up-part-2/,2026-09-02,Follow 外链,,
aimaker.dev,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aimaker.dev/directory,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 77 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aimaker.dev/guide/marketing/product-inspiration,2026-09-02,Follow 外链,,
aimojo.io,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aimojo.io/submit/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 7 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aimojo.io/tools-category/ai-agents/,2026-09-02,Follow 外链,,
aimyflow.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,http://aimyflow.com/en/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 12 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,http://aimyflow.com/en/role/social-media-content-creator,2026-09-02,Follow 外链,,
airadar.live,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://airadar.live/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 14 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://airadar.live/tools/devgraph,2026-09-02,Follow 外链,,
aireader.pythonanywhere.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aireader.pythonanywhere.com/report/aiml2-2026-09-01.json/news,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 652 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aireader.pythonanywhere.com/report/aiml2-2026-08-31.json/news,2026-09-02,Follow 外链,,
aisonar.io,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aisonar.io/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 12 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aisonar.io/tool/taaft-sellertwin,2026-09-02,Follow 外链,,
aistartup.co,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aistartup.co/guest-post-sites,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 2 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aistartup.co/resources/100-ai-startup-ideas,2026-09-02,Follow 外链,,
aitoolboard.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aitoolboard.com/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 12 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aitoolboard.com/tools/menuforma-qr-menu-online-ordering,2026-09-02,Follow 外链,,
aitoolnet.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.aitoolnet.com/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 5 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.aitoolnet.com/blog/mastering-cue-words-a-guide-to-effective-prompt-engineering-for-deepseek-r1-and-openai-models,2026-09-02,Follow 外链,,
aitoolsatlas.ai,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aitoolsatlas.ai/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 5 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aitoolsatlas.ai/tools/chatgpt,2026-09-02,Follow 外链,,
aitoolscafe.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aitoolscafe.com/login?redirect=%2Fsubmit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 6 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aitoolscafe.com/tool/cv-designer,2026-09-02,Follow 外链,,
aiunpacking.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://aiunpacking.com/submit-tool/,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 36 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://aiunpacking.com/blog/ai-tools-monthly-update/,2026-09-02,Follow 外链,,
alternativeai.tools,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://alternativeai.tools/tools#submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 6 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://alternativeai.tools/tools/chatmate-ai,2026-09-02,Follow 外链,,
amateurteensexblog.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://amateurteensexblog.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://amateurteensexblog.com/2026/08/16/https-mehrnews-com-x3cpg4-25-mrdad-1405-10-32-kd-mtlb-25-mrdad-1405-10-32-hshdar/,2026-09-02,Follow 外链,,
appsinsight.co,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://appsinsight.co/services/social-media-app-developers/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 20 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://appsinsight.co/services/blockchain-development-companies-for-startups/,2026-09-02,Follow 外链,,
artificialintelligencetoolslist.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.artificialintelligencetoolslist.com/post-a-product,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 5 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.artificialintelligencetoolslist.com/ai-tools/kinovi-ai,2026-09-02,Follow 外链,,
bestfreeai.tools,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://bestfreeai.tools/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 17 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://bestfreeai.tools/tool/hailuo-ai,2026-09-02,Follow 外链,,
bestworkflow.app,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://bestworkflow.app/tools/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 287 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://bestworkflow.app/api/tools/molt-bot/visit,2026-09-02,Follow 外链,,
betalist.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://betalist.com/sign_up,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 2 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://betalist.com/browse/productivity/productivity,2026-09-02,Follow 外链,,
bla5k.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://bla5k.com/open-source-ai-tools/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 3 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://bla5k.com/guides/best-ai-tools-2026/,2026-09-02,Follow 外链,,
blink.new,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://blink.new/w/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 8 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://blink.new/docs/extend/ai,2026-09-02,Follow 外链,,
blog-lvup.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://blog-lvup.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://blog-lvup.com/2026/08/17/https-mehrnews-com-x3cpt5-26-mrdad-1405-8-45-kd-mtlb-26-mrdad-1405-8-45-fylm-kwt/,2026-09-02,Follow 外链,,
boonqo.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://boonqo.com/productivity/personal-assistant/ai-assistant-tasks/claude,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 11 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://boonqo.com/productivity/project-management/simple-project-management/team-pulse,2026-09-02,Follow 外链,,
botrefund.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://botrefund.com/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 3 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://botrefund.com/blog/vpn-detection/,2026-09-02,Follow 外链,,
brianporter.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.brianporter.com/portland-real-estate-blog,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 2 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.brianporter.com/portland-real-estate-blog/2022/10/3/why-isn-t-my-house-selling,2026-09-02,Follow 外链,,
byjesseandjoe.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.byjesseandjoe.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 8 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.byjesseandjoe.com/listings/N13724172/6-Byblos-Court-East%2520Gwillimbury.html,2026-09-02,Follow 外链,,
caimpare.ai,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://caimpare.ai/submit-tool,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://caimpare.ai/tool/47248,2026-09-02,Follow 外链,,
capgo.ai,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://capgo.ai/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 8 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://capgo.ai/blogs/capgo-ai-raises-1m-from-iterative-and-antler/,2026-09-02,Follow 外链,,
cdnstaticsf.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://cdnstaticsf.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://cdnstaticsf.com/2026/08/17/hindi-newslifestylemonsoon-wi-fi-problems-slow-internet-fixes-advice-router-safe/,2026-09-02,Follow 外链,,
celebhomes.net,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.celebhomes.net/guest-posting-content-marketing-weapon-2026/,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 2 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.celebhomes.net/celebrity-home-photos/blog/,2026-09-02,Follow 外链,,
chat30ti.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://chat30ti.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://chat30ti.com/2026/08/17/https-mehrnews-com-x3cpqk-26-mrdad-1405-15-01-kd-mtlb-26-mrdad-1405-15-01-khsrwy/,2026-09-02,Follow 外链,,
cheaprccars.info,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://cheaprccars.info/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://cheaprccars.info/2026/08/16/desporto-expresso-diogo-ribeiro-melhorou-o-seu-recorde-nacional-dos-50-metros-li/,2026-09-02,Follow 外链,,
chluba-feinwerktechnik.info,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://chluba-feinwerktechnik.info/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://chluba-feinwerktechnik.info/2026/08/17/news-summary-generated-by-ok-ai-editorially-reviewed-aja-sravana-sukla-pancamika/,2026-09-02,Follow 外链,,
clickminded.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.clickminded.com/#products,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 4 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.clickminded.com/products/mos/,2026-09-02,Follow 外链,,
cliptics.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://cliptics.com/add-white-background-to-photo,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 3 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://cliptics.com/blogs/lang/en,2026-09-02,Follow 外链,,
coreprose.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.coreprose.com/free-article?topic=Gabon+KIMBA+Connect+2026+startup+support+and+selection,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 26 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.coreprose.com/article/vslive-at-microsoft-how-enterprise-net-is-crossing-the-chasm-into-production-ai-engineering,2026-09-02,Follow 外链,,
crunchbase.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.crunchbase.com/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.crunchbase.com/buy/select-product,2026-09-02,Follow 外链,,
cs-forever.net,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://cs-forever.net/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://cs-forever.net/2026/08/17/subscribe-to-daily-business-and-company-news-across-19-industries-with-organisat/,2026-09-02,Follow 外链,,
designkit.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.designkit.com/product-listing-generator,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 7 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.designkit.com/ecom-product/bestseller-replication,2026-09-02,Follow 外链,,
devhub.best,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://devhub.best/,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 122 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://devhub.best/blog/boxwatch-review,2026-09-02,Follow 外链,,
drizzlerules.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://drizzlerules.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 1 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://drizzlerules.com/2026/08/17/https-mehrnews-com-x3cpdf-26-mrdad-1405-9-02-kd-mtlb-26-mrdad-1405-9-02-amlak-aw/,2026-09-02,Follow 外链,,
dylign.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://dylign.com/submit,不确定,待确认,入口页未出现明确免费/付费措辞；样例公开页可索引；样例页 4 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://dylign.com/products/custom-stand-up-pouches,2026-09-02,Follow 外链,,
dynamite-ai.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.dynamite-ai.com/submit,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 5 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.dynamite-ai.com/tools/ehs-solution-for-warehouse,2026-09-02,Follow 外链,,
eesel.ai,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://www.eesel.ai/tools,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 19 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://www.eesel.ai/blog/anytime-fitness,2026-09-02,Follow 外链,,
ever.works,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://ever.works/blog,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 35 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://ever.works/en/solutions/use-cases/blogs,2026-09-02,Follow 外链,,
exayard.com,★ 优先人工确认：链接已是 Follow，只差确认免费档,https://exayard.com/tools,不确定,待确认,入口页同时出现免费与付费信号，需人工确认免费档范围；样例公开页可索引；样例页 8 条外部链接全部为 Follow,链接属性已确认，但免费性未闭环,https://exayard.com/tools/drywall/bid-proposal-writer,2026-09-02,Follow 外链,,
